Compound,#_Atoms,Lattice Parameter (Angstroms),Density (g/cm^3),Vol/Atom,Mass,Total_Energy (eV/atom),Magnetic_Moment,Band_Gap (eV),Band Gap Type,Volume (Angstroms^3),Bulk Modulus (Gpa),avg_CN,DOSmass_CB,Nb_CB,bmass_CB,mobility_n,DOSmass_VB,Nb_VB,bmass_VB,mobility_p,gamma,kappa_L_ac,kappa_L_oc,kappa_L,beta_n,beta_p,dos_mass_tol,Nb_tol
AcNiAs,3,6.583,8.395,23.776,199.605,-5.437,0,0.145,PBE,71.328,76.206,5.333,0.008,3,0.004,38340.3463,2.581,14,0.444,30.876,1.255,4.973,0.902,5.876,131.292,35.451,0.14,
AcNiP,3,6.462,7.794,22.49,175.279,-5.61,0,0.615,PBE,67.471,82.504,5.333,2.16,3,1.038,9.3561,4.729,8,1.182,7.702,1.255,6.257,0.993,7.25,4.005,9.881,0.1,
AcNiSb,3,6.826,8.508,26.507,225.531,-5.265,0,0.391,PBE,79.522,69.803,5.333,2.548,3,1.225,6.1784,1.077,14,0.185,104.921,1.255,4.33,0.827,5.157,4.314,62.505,0.12,
CoMoAl,3,5.772,6.281,16.028,100.67,-6.745,0,0.306,MBJ,48.083,141.056,5.333,1.232,9,0.285,111.4034,2.286,14,0.394,68.562,1.255,21.333,1.62,22.953,14.103,18.066,0.1,
CrCoAl,3,5.461,5.624,13.572,76.335,-6.722,0,0.545,MBJ,40.717,162.61,5.333,4.617,3,2.22,5.9008,4.641,14,0.799,27.324,1.255,29.946,1.943,31.889,1.138,9.802,0.1,
CrCoB,3,4.984,6.532,10.317,67.385,-7.594,0,0.84,MBJ,30.95,239.975,5.333,0.225,3,0.108,809.4577,1.378,8,0.345,142.417,1.255,49.298,2.401,51.699,6.346,8.446,0.11,
CrCoGa,3,5.457,7.382,13.545,99.993,-6.409,0,0.622,MBJ,40.636,168.191,5.333,1.674,3,0.805,27.9559,1.473,14,0.254,158.055,1.255,23.147,1.726,24.873,2.773,25.877,0.1,
CrCoIn,3,5.752,7.877,15.863,124.954,-5.889,0,0.699,MBJ,47.589,139.333,5.333,0.616,6,0.187,207.4981,1.98,14,0.341,84.016,1.255,15.65,1.443,17.093,16.073,26.122,0.1,
CrFeC,3,4.895,6.788,9.774,66.34,-8.352,0,0.563,MBJ,29.321,270.387,5.333,5.116,3,2.46,8.4119,4.176,8,1.044,30.417,1.255,59.129,2.546,61.675,0.92,4.101,0.14,
CrFeGe,3,5.45,7.404,13.493,99.899,-7.431,0,0.423,MBJ,40.479,190.022,5.333,5.087,3,2.446,5.9623,5.382,8,1.346,14.61,1.255,30.154,1.834,31.988,1.251,4.773,0.1,
CrFeSi,3,5.339,5.932,12.683,75.237,-7.95,0,0.368,MBJ,38.048,207.641,5.333,9.953,3,4.785,2.3806,4.17,8,1.043,23.409,1.255,46.132,2.187,48.319,0.605,4.024,0.1,
CrFeSn,3,5.743,7.945,15.783,125.399,-6.897,0,0.466,MBJ,47.349,156.398,5.333,1.532,3,0.737,29.6924,1.934,14,0.333,97.691,1.255,19.943,1.524,21.467,3.151,23.678,0.1,
CrIrAl,3,5.76,9.426,15.924,150.11,-7.559,0,0.351,MBJ,47.773,179.152,5.333,5.324,3,2.56,5.2501,12.781,14,2.2,6.587,1.255,22.018,1.493,23.511,1.561,7.976,0.1,
CrIrB,3,5.376,10.901,12.95,141.159,-8.046,0,0.528,MBJ,38.849,237.306,5.333,13.716,3,6.594,1.6818,2.112,8,0.528,74.223,1.255,29.987,1.713,31.7,0.869,10.543,0.1,
CrIrGa,3,5.775,10.826,16.051,173.768,-7.143,0,0.361,MBJ,48.153,182.999,5.333,3.797,3,1.825,8.9041,34.652,14,5.965,1.507,1.255,19.604,1.405,21.008,2.185,5.012,0.1,
CrIrIn,3,6.042,10.814,18.376,198.728,-6.651,0,0.476,MBJ,55.129,154.748,5.333,12.746,3,6.128,1.2243,11.821,14,2.035,6.397,1.255,14.808,1.235,16.043,1.17,10.581,0.1,
CrOsGe,3,5.767,10.905,15.982,174.282,-8.247,0,0.354,MBJ,47.945,202.465,5.333,8.122,3,3.905,3.1489,3.874,8,0.969,25.487,1.255,24.242,1.474,25.716,1.252,7.704,0.1,
CrOsPb,3,6.135,12.925,19.246,248.763,-7.24,0.047,0.338,MBJ,57.739,150.077,5.333,9.635,3,4.632,1.8065,2.079,14,0.358,84.106,1.255,11.483,1.095,12.579,1.712,37.129,0.1,
CrOsSi,3,5.662,9.89,15.129,149.621,-8.786,0,0.31,MBJ,45.386,218.221,5.333,13.39,3,6.437,1.6034,3.802,8,0.951,28.258,1.255,31.086,1.637,32.723,0.785,6.6,0.1,
CrOsSn,3,6.026,10.956,18.235,199.783,-7.785,0,0.419,MBJ,54.704,174.263,5.333,13.342,3,6.414,1.2873,2.539,14,0.437,72.36,1.255,18.869,1.306,20.175,1.02,23.843,0.1,
CrReAs,3,5.794,10.692,16.21,173.319,-8.559,0.024,0.152,MBJ,48.631,197.964,5.333,11.798,3,5.672,1.7586,13.08,8,3.27,4.018,1.255,23.849,1.465,25.314,0.994,3.688,0.1,
CrReP,3,5.641,9.962,14.956,148.993,-9.029,0,0.123,MBJ,44.868,218.949,5.333,5.195,3,2.498,6.6561,12.975,8,3.244,4.497,1.255,30.804,1.64,32.444,1.403,3.198,0.1,
CrReSb,3,6.057,10.759,18.519,199.244,-8.184,0,0.241,MBJ,55.556,174.16,5.333,17.89,3,8.6,0.8286,5.092,8,1.273,14.55,1.255,19.464,1.31,20.774,0.83,6.963,0.1,
CrRhAl,3,5.729,6.425,15.67,100.675,-6.899,0.002,0.444,MBJ,47.009,159.459,5.333,5.361,3,2.577,4.625,17.757,14,3.057,3.58,1.255,26.832,1.716,28.548,1.139,4.8,0.1,
CrRhB,3,5.315,7.332,12.511,91.724,-7.44,0,0.63,MBJ,37.533,217.26,5.333,4.251,3,2.044,8.9245,2.616,8,0.654,49.302,1.255,39.056,2.022,41.078,1.24,6.551,0.1,
CrRhGa,3,5.733,7.917,15.705,124.333,-6.55,0,0.44,MBJ,47.114,163.138,5.333,3.892,3,1.871,7.648,11.451,14,1.971,7.072,1.255,21.921,1.562,23.483,1.717,7.767,0.1,
CrRuC,3,5.232,7.654,11.937,91.372,-8.265,0,0.36,MBJ,35.812,241.483,5.333,6.518,3,3.134,5.2242,4.222,8,1.056,26.723,1.255,45.411,2.119,47.53,0.922,4.722,0.12,
CrRuGe,3,5.722,8.002,15.613,124.931,-7.676,0,0.203,MBJ,46.839,185.993,5.333,9.14,3,4.394,2.4232,4.132,14,0.711,37.2,1.255,28.826,1.662,30.488,0.904,12.572,0.1,
CrRuPb,3,6.09,10.596,18.819,199.412,-6.757,0,0.333,MBJ,56.458,141.803,5.333,6.099,3,2.932,3.3894,3.026,14,0.521,45.255,1.255,12.706,1.185,13.891,1.927,25.361,0.1,
CrRuSi,3,5.62,6.777,14.795,100.27,-8.161,0,0.147,MBJ,44.384,200.581,5.333,14.659,3,7.047,1.2866,2.687,14,0.463,76.492,1.255,40.249,1.91,42.159,0.531,12.693,0.1,
CrRuSn,3,5.987,8.412,17.883,150.432,-7.239,0,0.287,MBJ,53.648,159.508,5.333,12.743,3,6.126,1.2623,2.768,14,0.477,58.186,1.255,21.117,1.435,22.551,0.858,18.538,0.1,
FeMoSi,3,5.674,6.539,15.226,99.572,-7.9,0,0.183,MBJ,45.679,176.267,5.333,0.77,3,0.37,93.9246,2.679,8,0.67,38.581,1.255,32.175,1.805,33.98,3.39,6.333,0.1,
HfAgAl,3,6.268,8.453,20.517,173.438,-5.49,0,0.068,PBE,61.55,106.243,5.333,0.249,3,0.12,308.4,6.194,3,2.978,2.481,1.255,9.341,1.116,10.457,13.082,1.901,0.1,
HfAgB,3,5.862,9.797,16.79,164.487,-5.786,0,0.147,PBE,50.37,135.707,5.333,0.045,3,0.021,5181.3949,2.093,3,1.006,16.139,1.255,11.755,1.252,13.008,37.65,3.742,0.1,
HfAgGa,3,6.237,9.75,20.215,197.096,-5.238,0,0.09,MBJ,60.646,107.349,5.333,0.507,3,0.244,107.0058,3.647,30,0.378,55.477,1.255,7.955,1.049,9.005,10.009,76.965,0.1,
HfAuAl,3,6.263,10.882,20.47,222.755,-6.176,0,0.641,PBE,61.409,126.918,5.333,0.771,3,0.371,67.4591,6.627,3,3.186,2.678,1.255,10.173,1.075,11.248,7.367,2.027,0.1,
HfAuB,3,5.919,12.373,17.28,213.804,-6.376,0,0.72,PBE,51.84,152.648,5.333,0.606,3,0.291,116.5097,1.833,3,0.881,22.135,1.255,11.705,1.171,12.876,8.946,4.604,0.1,
HfAuGa,3,6.248,12.124,20.325,246.413,-5.874,0,0.562,PBE,60.974,126.841,5.333,0.83,3,0.399,60.364,1.765,3,0.848,19.476,1.255,8.865,1.021,9.886,8.015,5.098,0.1,
HfAuIn,3,6.461,12.072,22.479,271.373,-5.647,0,0.369,PBE,67.437,115.61,5.333,0.653,3,0.314,78.79,3.039,3,1.461,7.857,1.255,7.758,0.944,8.702,9.58,3.81,0.1,
HfCoAs,3,5.792,10.677,16.192,172.887,-8.064,0,1.279,PBE,48.576,161.215,5.333,5.087,3,2.445,5.059,5.092,8,1.273,13.469,1.255,15.139,1.324,16.463,2.062,8.133,0.1,
HfCoBi,3,6.186,12.528,19.723,247.09,-7.31,0,0.969,PBE,59.168,125.393,5.333,3.446,3,1.657,7.0552,0.134,11,0.027,3373.005,1.255,8.139,1.009,9.148,3.645,157.669,0.1,
HfCoP,3,5.649,9.889,15.022,148.561,-8.43,0,1.368,PBE,45.067,176.58,5.333,1.18,3,0.567,49.5931,5.835,8,1.459,12.027,1.255,19.349,1.476,20.825,4.289,6.49,0.12,
HfCoSb,3,6.054,10.755,18.486,198.813,-7.755,0,1.127,PBE,55.458,143.683,5.333,3.321,3,1.596,8.5479,6.314,8,1.579,8.694,1.255,12.697,1.191,13.888,2.813,7.553,0.1,
HfCuB,3,5.528,9.944,14.074,139.954,-6.611,0,0.085,MBJ,42.221,156.225,5.333,0.339,3,0.163,284.4882,2.525,3,1.214,14.02,1.255,14.026,1.415,15.441,10.81,3.243,0.1,
HfFeTe,3,6.042,10.901,18.378,200.336,-7.596,0,0.824,PBE,55.134,145.573,5.333,0.026,3,0.013,12221.2475,3.439,8,0.86,21.916,1.255,12.807,1.193,14,51.426,10.93,0.1,
HfIrSb,3,6.32,12.957,21.037,272.587,-8.578,0,0.881,PBE,63.111,158.922,5.333,0.065,3,0.031,3413.4215,1.776,3,0.854,24.181,1.255,13.791,1.093,14.884,30.612,4.227,0.1,
HfNiC,3,5.336,10.892,12.664,137.932,-7.939,0,0.908,PBE,37.992,184.298,5.333,2.199,3,1.057,20.34,0.592,3,0.285,145.581,1.255,16.884,1.521,18.405,3.486,7.66,0.1,
HfNiGe,3,5.849,10.284,16.675,171.491,-7.401,0,0.563,PBE,50.025,146.182,5.333,1.675,3,0.805,24.2758,2.382,3,1.145,14.315,1.255,13.007,1.272,14.278,4.197,3.398,0.11,
HfNiSi,3,5.771,9.168,16.015,146.83,-7.765,0,0.685,PBE,48.046,157.476,5.333,0.82,3,0.394,76.3315,2.571,3,1.236,13.752,1.255,17.176,1.417,18.593,5.33,2.685,0.1,
HfNiSn,3,6.105,10.387,18.965,196.992,-7.052,0,0.376,PBE,56.896,129.269,5.333,1.093,3,0.525,40.7458,2.584,3,1.242,11.202,1.255,10.658,1.14,11.798,5.804,3.463,0.1,
HfPdSn,3,6.343,10.505,21.267,223.409,-7.053,0,0.394,PBE,63.8,126.208,5.333,0.784,3,0.377,65.4359,1.278,3,0.615,31.438,1.255,10.757,1.078,11.835,6.893,5.142,0.1,
HfPtGe,3,6.161,12.676,19.485,246.985,-7.843,0,1.138,PBE,58.454,154.42,5.333,1.759,3,0.845,23.8377,1.412,3,0.679,33.133,1.255,12.63,1.117,13.747,4.472,5.102,0.1,
HfPtPb,3,6.462,14.296,22.487,321.466,-7.195,0,0.753,PBE,67.46,127.647,5.333,0.906,3,0.436,53.2674,1.628,3,0.783,22.127,1.255,7.868,0.912,8.779,8.617,6.064,0.1,
HfPtSi,3,6.082,11.856,18.752,222.324,-8.194,0,1.293,PBE,56.257,165.434,5.333,0.183,3,0.088,759.2418,2.664,3,1.281,13.695,1.255,15.561,1.211,16.772,15.253,3.061,0.1,
HfPtSn,3,6.366,12.672,21.502,272.486,-7.614,0,0.906,PBE,64.507,143.738,5.333,1.622,3,0.78,25.0467,2.109,3,1.014,16.899,1.255,11.507,1.043,12.551,4.786,4.089,0.1,
HfRhAs,3,6.061,10.63,18.553,197.226,-8.277,0,0.295,PBE,55.659,154.922,5.333,0.104,3,0.05,1666.7538,0.727,3,0.349,89.981,1.255,15.255,1.242,16.498,20.418,6.352,0.1,
HfRhBi,3,6.404,12.399,21.891,271.429,-7.671,0,0.145,PBE,65.672,128.435,5.333,0.047,3,0.023,4527.0179,0.066,3,0.032,2701.072,1.255,9.317,0.991,10.308,43.552,35.424,0.1,
HfRhP,3,5.936,9.92,17.429,172.9,-8.566,0,0.855,PBE,52.287,167.249,5.333,0.278,3,0.134,410.3665,0.51,3,0.245,165.302,1.255,18.864,1.365,20.229,9.953,6.918,0.1,
HfRhSb,3,6.282,10.803,20.657,223.152,-8.067,0,1.126,PBE,61.97,145.615,5.333,3.215,3,1.545,9.0954,1.572,3,0.756,26.593,1.255,14.004,1.153,15.157,2.664,4.091,0.1,
HfRuTe,3,6.277,10.932,20.615,225.368,-8.075,0,0.066,PBE,61.844,147.603,5.333,0.095,9,0.022,5444.2097,1.261,3,0.606,37.525,1.255,14.205,1.154,15.359,102.616,4.671,0.11,
LaAuSi,3,6.751,7.858,25.638,201.455,-5.105,0,0.241,PBE,76.915,76.672,5.333,0.403,6,0.122,215.781,1.121,6,0.339,46.512,1.255,5.745,0.912,6.657,29.292,15.855,0.16,
LaAuSn,3,6.995,8.82,28.528,251.617,-4.856,0,0.143,PBE,85.583,68.537,5.333,0.004,6,0.001,195059.5865,0.996,14,0.171,115.836,1.255,4.179,0.786,4.964,559.045,66.818,0.12,
LaCoS,3,6.13,6.628,19.198,127.255,-6.084,0,0.32,PBE,57.595,98.687,5.333,0.032,9,0.007,18619.0234,6.138,20,0.833,15.575,1.255,10.203,1.241,11.445,176.879,23.091,0.1,
LaCoSe,3,6.295,7.372,20.784,153.212,-5.902,0,0.066,PBE,62.351,90.744,5.333,0.105,9,0.024,2880.4221,6.549,26,0.746,16.893,1.255,7.846,1.099,8.946,102.004,37.727,0.12,
LaCoTe,3,6.545,7.709,23.366,180.135,-5.751,0,0.632,PBE,70.099,83.991,5.333,1.194,9,0.276,69.5267,7.358,1,7.358,0.505,1.255,6.766,0.994,7.761,25.307,0.392,0.14,
LaCuC,3,6.009,6.564,18.084,118.708,-5.144,0,0.333,PBE,54.252,88.674,5.333,1.042,3,0.501,30.0123,0.39,6,0.118,262.244,1.255,7.827,1.206,9.033,5.35,25.466,0.1,
LaFeF,3,6.494,5.184,22.822,118.313,-4.327,2.668,0.056,MBJ,68.466,35.166,5.333,14.886,9,3.44,0.6613,11.302,5,3.865,0.555,1.255,1.566,0.791,2.357,7.677,3.977,0.1,
LaHgAl,3,7.012,7.061,28.73,202.85,-3.289,0,0.066,PBE,86.189,56.874,5.333,0.009,9,0.002,67295.7105,1.228,17,0.186,85.233,1.255,3.64,0.798,4.438,547.964,71.781,0.1,
LaNiAs,3,6.37,7.002,21.543,150.844,-5.898,0,0.626,PBE,64.629,86.178,5.333,3.433,9,0.793,14.6347,1.281,1,1.281,7.137,1.255,7.63,1.086,8.716,12.27,1.023,0.1,
LaNiP,3,6.247,6.229,20.312,126.518,-6.097,0,0.698,PBE,60.936,93.785,5.333,3.546,9,0.82,15.1687,1.722,20,0.234,99.608,1.255,10.206,1.225,11.431,9.984,47.103,0.13,
LaNiSb,3,6.619,7.315,24.165,176.769,-5.702,0,0.453,PBE,72.496,78.517,5.333,2.855,9,0.66,17.5784,0.095,1,0.095,321.782,1.255,6.352,0.976,7.328,14.85,5.279,0.1,
LaPtSb,3,6.859,9.38,26.893,252.263,-6.21,0,0.05,PBE,80.679,85.383,5.333,0.019,9,0.004,35209.964,0.822,14,0.142,192.475,1.255,6.068,0.867,6.935,345.276,66.855,0.14,
LaRhS,3,6.404,6.927,21.885,151.594,-6.486,0,0.366,PBE,65.655,96.228,5.333,0.005,9,0.001,258813.2929,0.419,5,0.143,212.987,1.255,9.977,1.148,11.125,513.619,16.654,0.1,
LaRhSe,3,6.545,7.6,23.363,177.551,-6.342,0,0.128,PBE,70.089,90.539,5.333,0.035,9,0.008,14780.1534,1.21,2,0.762,16.335,1.255,8.132,1.04,9.172,191.11,2.789,0.1,
LaRhTe,3,6.76,7.941,25.748,204.474,-6.227,0,0.749,PBE,77.243,86.242,5.333,0.972,9,0.225,97.1485,0.991,2,0.624,20.991,1.255,7.382,0.961,8.343,27.342,3.292,0.1,
LaRuF,3,6.037,7.82,18.331,143.345,-5.85,0.002,0.056,MBJ,54.993,82.975,5.333,5.994,9,1.385,6.1066,9.851,1,9.851,0.322,1.255,5.508,1.064,6.573,11.213,0.384,0.13,
LiAlGe,3,6.061,3.179,18.555,58.984,-3.545,0,0.371,PBE,55.664,51.337,5.333,0.83,3,0.399,24.4602,0.943,30,0.098,201.946,1.255,5.728,1.308,7.036,4.56,106.081,0.1,
MnNiB,3,5.057,6.391,10.778,68.881,-6.654,2,0.06,PBE,32.334,193.676,5.333,31.278,3,15.037,0.3986,34.539,6,10.46,0.687,1.255,32.402,2.149,34.551,0.397,0.987,0.1,
MoIrB,3,5.599,11.314,14.628,165.494,-8.536,0,0.325,MBJ,43.884,242.51,5.333,3.427,3,1.648,13.7607,0.872,8,0.218,285.88,1.255,32.611,1.632,34.243,1.89,16.957,0.1,
MoOsPb,3,6.237,13.509,20.217,273.098,-7.988,0,0.116,MBJ,60.65,173.706,5.333,6.886,3,3.31,3.4608,2.743,14,0.472,64.23,1.255,15.55,1.134,16.684,1.828,27.435,0.1,
MoRhB,3,5.529,8.24,14.085,116.059,-7.948,0,0.497,MBJ,42.255,224.441,5.333,3.048,3,1.465,15.182,0.928,14,0.16,421.982,1.255,39.4,1.863,41.263,1.557,27.47,0.1,
NbCoC,3,5.224,7.632,11.883,90.693,-8.383,0,1.446,PBE,35.65,237.448,5.333,2.936,3,1.411,16.9917,4.881,8,1.22,21.139,1.255,43.769,2.107,45.876,1.515,4.409,0.17,
NbCoGe,3,5.706,8.026,15.48,124.252,-7.776,0,1.071,PBE,46.441,180.535,5.333,3.725,6,1.128,18.0803,7.198,14,1.239,15.706,1.255,26.731,1.64,28.371,4.262,9.4,0.25,
NbCoPb,3,6.051,10.763,18.464,198.733,-6.893,0,0.942,PBE,55.391,141.093,5.333,3.292,3,1.583,8.5039,7.896,14,1.359,10.683,1.255,12.173,1.18,13.353,2.888,14.765,0.17,
NbCoSi,3,5.623,6.723,14.813,99.591,-8.205,0,0.862,PBE,44.439,193.214,5.333,0.227,3,0.109,643.1349,2.178,6,0.66,43.28,1.255,37.438,1.881,39.32,6.683,4.541,0.1,
NbCoSn,3,5.962,8.479,17.661,149.753,-7.355,0,0.982,PBE,52.982,156.446,5.333,3.463,9,0.8,26.2186,6.972,14,1.2,14.277,1.255,19.867,1.421,21.288,9.071,11.065,0.17,
NbFeAs,3,5.694,8.046,15.388,123.806,-8.24,0,0.581,PBE,46.163,188.598,5.333,0.267,3,0.128,492.1222,3.85,8,0.963,23.967,1.255,29.247,1.678,30.924,7.525,5.991,0.13,
NbFeBi,3,6.081,10.569,18.736,198.009,-7.393,0,0.596,PBE,56.207,145.74,5.333,1.133,3,0.545,43.5046,4.489,8,1.122,14.71,1.255,13.505,1.205,14.71,5.136,8.876,0.25,
NbFeP,3,5.552,6.975,14.263,99.48,-8.656,0,0.507,PBE,42.79,209.284,5.333,0.662,3,0.318,139.8786,3.292,8,0.823,33.637,1.255,41.68,1.947,43.627,3.433,5.176,0.2,
NbFeSb,3,5.951,8.525,17.565,149.732,-7.886,0,0.507,PBE,52.695,166.863,5.333,0.005,3,0.002,169905.188,4.652,32,0.462,63.86,1.255,22.69,1.467,24.157,92.703,42.182,0.22,0.05
NbIrC,3,5.656,10.907,15.079,164.468,-8.624,0,0.283,PBE,45.236,216.764,5.333,0.226,3,0.109,726.3199,2.772,8,0.693,45.089,1.255,27.127,1.555,28.682,10.305,9.041,0.27,
NbIrPb,3,6.321,12.947,21.049,272.507,-7.691,0,0.715,PBE,63.146,157.385,5.333,0.04,3,0.019,7082.3068,1.852,14,0.319,104.908,1.255,13.516,1.088,14.604,41.535,35.948,0.1,
NbIrSi,3,5.941,9.923,17.472,173.365,-8.901,0,0.485,PBE,52.415,204.37,5.333,0.11,3,0.053,2016.6516,4.626,14,0.796,34.508,1.255,29.462,1.507,30.969,13.861,12.71,0.22,
NbIrSn,3,6.23,11.094,20.149,223.527,-8.178,0,0.631,PBE,60.447,174.466,5.333,0.785,3,0.377,90.3043,4.541,14,0.782,30.29,1.255,19.912,1.255,21.168,5.324,16.051,0.21,
NbNiB,3,5.349,7.049,12.753,89.896,-7.477,0,0.58,PBE,38.259,207.562,5.333,1.647,3,0.792,35.3516,1.69,6,0.512,68.022,1.255,37.499,2.002,39.501,2.176,5.655,0.14,
NbOsAs,3,6.015,10.926,18.139,198.19,-9.015,0,0.242,PBE,54.418,195.936,5.333,0.733,3,0.352,112.3984,1.031,8,0.258,179.679,1.255,24.467,1.389,25.856,5.101,16.41,0.23,
NbOsBi,3,6.346,12.788,21.3,272.393,-8.328,0,0.318,PBE,63.9,162.956,5.333,0.553,3,0.266,142.6544,2.012,8,0.503,54.815,1.255,14.937,1.109,16.047,8.095,14.724,0.11,
NbOsP,3,5.893,10.192,17.058,173.864,-9.349,0,0.16,PBE,51.174,212.157,5.333,0.553,3,0.266,185.726,2.14,8,0.535,65.059,1.255,30.491,1.527,32.018,5.282,9.258,0.18,
